sasdate,date_key,word_date,date,year,quarter,month,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
22206,101820,18-Oct-20,10/18/2020,2020,4,10,18,42,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22207,101920,19-Oct-20,10/19/2020,2020,4,10,19,42,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22208,102020,20-Oct-20,10/20/2020,2020,4,10,20,42,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22209,102120,21-Oct-20,10/21/2020,2020,4,10,21,42,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22210,102220,22-Oct-20,10/22/2020,2020,4,10,22,42,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22211,102320,23-Oct-20,10/23/2020,2020,4,10,23,42,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22212,102420,24-Oct-20,10/24/2020,2020,4,10,24,42,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22213,102520,25-Oct-20,10/25/2020,2020,4,10,25,43,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22214,102620,26-Oct-20,10/26/2020,2020,4,10,26,43,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22215,102720,27-Oct-20,10/27/2020,2020,4,10,27,43,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22216,102820,28-Oct-20,10/28/2020,2020,4,10,28,43,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22217,102920,29-Oct-20,10/29/2020,2020,4,10,29,43,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22218,103020,30-Oct-20,10/30/2020,2020,4,10,30,43,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22219,103120,31-Oct-20,10/31/2020,2020,4,10,31,43,Sat,7,Jan-60,HALLOWEEN,ETC/GMT+7,GMT-07:00,-25200
22220,110120,1-Nov-20,11/1/2020,2020,4,11,1,44,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22221,110220,2-Nov-20,11/2/2020,2020,4,11,2,44,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22222,110320,3-Nov-20,11/3/2020,2020,4,11,3,44,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22223,110420,4-Nov-20,11/4/2020,2020,4,11,4,44,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22224,110520,5-Nov-20,11/5/2020,2020,4,11,5,44,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22225,110620,6-Nov-20,11/6/2020,2020,4,11,6,44,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22226,110720,7-Nov-20,11/7/2020,2020,4,11,7,44,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22227,110820,8-Nov-20,11/8/2020,2020,4,11,8,45,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22228,110920,9-Nov-20,11/9/2020,2020,4,11,9,45,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22229,111020,10-Nov-20,11/10/2020,2020,4,11,10,45,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22230,111120,11-Nov-20,11/11/2020,2020,4,11,11,45,Wed,4,Jan-60,VETERANS,ETC/GMT+7,GMT-07:00,-25200
22231,111220,12-Nov-20,11/12/2020,2020,4,11,12,45,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22232,111320,13-Nov-20,11/13/2020,2020,4,11,13,45,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22233,111420,14-Nov-20,11/14/2020,2020,4,11,14,45,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22234,111520,15-Nov-20,11/15/2020,2020,4,11,15,46,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22235,111620,16-Nov-20,11/16/2020,2020,4,11,16,46,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22236,111720,17-Nov-20,11/17/2020,2020,4,11,17,46,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22237,111820,18-Nov-20,11/18/2020,2020,4,11,18,46,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22238,111920,19-Nov-20,11/19/2020,2020,4,11,19,46,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22239,112020,20-Nov-20,11/20/2020,2020,4,11,20,46,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22240,112120,21-Nov-20,11/21/2020,2020,4,11,21,46,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22241,112220,22-Nov-20,11/22/2020,2020,4,11,22,47,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22242,112320,23-Nov-20,11/23/2020,2020,4,11,23,47,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22243,112420,24-Nov-20,11/24/2020,2020,4,11,24,47,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22244,112520,25-Nov-20,11/25/2020,2020,4,11,25,47,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22245,112620,26-Nov-20,11/26/2020,2020,4,11,26,47,Thu,5,Jan-60,THANKSGIVING,ETC/GMT+7,GMT-07:00,-25200
22246,112720,27-Nov-20,11/27/2020,2020,4,11,27,47,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22247,112820,28-Nov-20,11/28/2020,2020,4,11,28,47,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22248,112920,29-Nov-20,11/29/2020,2020,4,11,29,48,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22249,113020,30-Nov-20,11/30/2020,2020,4,11,30,48,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22250,120120,1-Dec-20,12/1/2020,2020,4,12,1,48,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22251,120220,2-Dec-20,12/2/2020,2020,4,12,2,48,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22252,120320,3-Dec-20,12/3/2020,2020,4,12,3,48,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22253,120420,4-Dec-20,12/4/2020,2020,4,12,4,48,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22254,120520,5-Dec-20,12/5/2020,2020,4,12,5,48,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22255,120620,6-Dec-20,12/6/2020,2020,4,12,6,49,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22256,120720,7-Dec-20,12/7/2020,2020,4,12,7,49,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22257,120820,8-Dec-20,12/8/2020,2020,4,12,8,49,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22258,120920,9-Dec-20,12/9/2020,2020,4,12,9,49,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22259,121020,10-Dec-20,12/10/2020,2020,4,12,10,49,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22260,121120,11-Dec-20,12/11/2020,2020,4,12,11,49,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22261,121220,12-Dec-20,12/12/2020,2020,4,12,12,49,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22262,121320,13-Dec-20,12/13/2020,2020,4,12,13,50,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22263,121420,14-Dec-20,12/14/2020,2020,4,12,14,50,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22264,121520,15-Dec-20,12/15/2020,2020,4,12,15,50,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22265,121620,16-Dec-20,12/16/2020,2020,4,12,16,50,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22266,121720,17-Dec-20,12/17/2020,2020,4,12,17,50,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22267,121820,18-Dec-20,12/18/2020,2020,4,12,18,50,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22268,121920,19-Dec-20,12/19/2020,2020,4,12,19,50,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22269,122020,20-Dec-20,12/20/2020,2020,4,12,20,51,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22270,122120,21-Dec-20,12/21/2020,2020,4,12,21,51,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22271,122220,22-Dec-20,12/22/2020,2020,4,12,22,51,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22272,122320,23-Dec-20,12/23/2020,2020,4,12,23,51,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22273,122420,24-Dec-20,12/24/2020,2020,4,12,24,51,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22274,122520,25-Dec-20,12/25/2020,2020,4,12,25,51,Fri,6,Jan-60,CHRISTMAS,ETC/GMT+7,GMT-07:00,-25200
22275,122620,26-Dec-20,12/26/2020,2020,4,12,26,51,Sat,7,Jan-60,BOXING,ETC/GMT+7,GMT-07:00,-25200
22276,122720,27-Dec-20,12/27/2020,2020,4,12,27,52,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22277,122820,28-Dec-20,12/28/2020,2020,4,12,28,52,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22278,122920,29-Dec-20,12/29/2020,2020,4,12,29,52,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22279,123020,30-Dec-20,12/30/2020,2020,4,12,30,52,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
22280,123120,31-Dec-20,12/31/2020,2020,4,12,31,52,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
